Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
175       ,mp-7130   ,ScRu3C    ,     234.0,     234.0,137.0     ,0.25      ,1.84      ,52.67887066666666,    19.674,         0
176       ,mp-7142   ,OsC       ,     390.0,     378.0,51.0      ,0.41      ,1.85      , 101.12035,    30.892,0.9151209350000009
177       ,mp-7159   ,La3TlC    ,      63.0,      63.0,40.0      ,0.24      ,1.95      ,118.43315666666666,     5.428,         0
178       ,mp-7586   ,Ni3C      ,     195.0,     195.0,62.0      ,0.35      ,1.49      ,  35.35205,    13.928,0.05820347749999932
179       ,mp-8044   ,V2PC      ,     228.0,     227.0,144.0     ,0.23      ,1.71      , 31.308654,    20.203,         0
180       ,mp-8370   ,Ni3GeC    ,     141.0,     141.0,32.0      ,0.37      ,1.49      ,47.781366666666656,    11.385,0.3402785399999999
181       ,mp-8499   ,Ho2Cr2C3  ,     168.0,     167.0,67.0      ,0.31      ,1.75      ,76.31237333333333,    13.331,         0
182       ,mp-8577   ,Sc3GaC    ,     100.0,     100.0,85.0      ,0.17      ,1.84      ,42.22987066666666,    13.275,         0
183       ,mp-8996   ,Sc3RuC4   ,     186.0,     174.0,107.0     ,0.25      ,1.84      ,52.67887066666666,    16.364,0.0024854549999986375
184       ,mp-910    ,NbC       ,     300.0,     300.0,193.0     ,0.23      ,1.98      ,  52.45854,    25.572,0.04087414333333328
185       ,mp-9211   ,Tm2Fe2Si2C,     137.0,     134.0,82.0      ,0.24      ,2.22      ,66.2188525,    12.839,         0
186       ,mp-9312   ,PrNiC2    ,     143.0,     133.0,82.0      ,0.25      ,2.47      ,70.53724999999999,    12.834,         0
187       ,mp-9459   ,Y4C5      ,     102.0,     100.0,48.0      ,0.28      ,2.12      , 50.458275,     8.321,         0
188       ,mp-973756 ,Lu2Mo2C3  ,     167.0,     165.0,88.0      ,0.27      ,2.17      ,94.30590000000001,    14.093,         0
189       ,mp-995434 ,Fe11MoC4  ,     194.0,     190.0,71.0      ,0.32      ,1.9       ,54.59856666666667,    14.741,0.35617548718750136
190       ,mp-9956   ,AlCr2C    ,     189.0,     189.0,133.0     ,0.21      ,1.66      ,30.329446200000003,    18.681,         0
191       ,mp-9957   ,V2GeC     ,     180.0,     180.0,98.0      ,0.26      ,1.71      ,45.197399999999995,     15.34,         0
192       ,mp-9958   ,Ti2GeC    ,     154.0,     153.0,104.0     ,0.22      ,1.76      ,44.17256666666666,    15.236,         0
193       ,mp-9960   ,Y3TlC     ,      75.0,      75.0,63.0      ,0.17      ,2.12      ,101.76661666666666,    10.346,         0
194       ,mp-9961   ,Ti2CdC    ,     113.0,     110.0,44.0      ,0.29      ,1.76      ,57.429566666666666,    10.011,         0
195       ,mp-996161 ,Nb3AlC2   ,     203.0,     202.0,136.0     ,0.22      ,1.98      ,43.96620620000001,    19.148,         0
196       ,mp-996162 ,Nb2AlC    ,     173.0,     173.0,112.0     ,0.23      ,1.98      ,43.96620620000001,    15.933,         0
197       ,mp-9987   ,Nb2PC     ,     225.0,     223.0,136.0     ,0.24      ,1.98      ,45.29694733333334,     19.46,         0
198       ,mp-9988   ,Nb2CS     ,     194.0,     192.0,96.0      ,0.28      ,1.98      ,45.660693333333334,    15.147,0.024733545078126085
199       ,mp-998893 ,YC        ,     150.0,     150.0,69.0      ,0.3       ,2.12      , 50.458275,    11.138,0.3589795274999954
200       ,mp-998894 ,YC        ,      68.0,      68.0,7.0       ,0.4       ,2.12      , 50.458275,     6.885,0.8089689174999961
201       ,mp-9989   ,Nb2AsC    ,     207.0,     205.0,114.0     ,0.26      ,1.98      ,59.94622666666667,    17.305,         0
202       ,mp-999257 ,Sc2MnC    ,     115.0,     115.0,44.0      ,0.33      ,1.84      ,37.30155233333333,     7.904,0.8746723946875017
203       ,mp-999259 ,RuC       ,     256.0,     256.0,163.0     ,0.23      ,1.78      ,  56.54035,    22.985,0.36517847250000024
204       ,mp-999308 ,OsC       ,     388.0,     376.0,99.0      ,0.37      ,1.85      , 101.12035,    26.514,0.926809457500001
205       ,mp-999377 ,NbC       ,     251.0,     246.0,134.0     ,0.27      ,1.98      ,  52.45854,    19.445,0.41000720833333304
206       ,mp-999388 ,NbC       ,     218.0,     214.0,72.0      ,0.31      ,1.98      ,  52.45854,    17.794,0.16840252083333418
