Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
252       ,mp-999355 ,NbN       ,     237.0,     209.0,38.0      ,0.42      ,1.98      ,  53.45654,    17.676,0.38314565249999966
253       ,mp-999357 ,NbN       ,     249.0,     244.0,120.0     ,0.25      ,1.98      ,  53.45654,    22.466,0.15606125499999912
254       ,mp-999473 ,ZnN       ,     164.0,     164.0,56.0      ,0.35      ,1.42      ,  39.70785,     11.61,0.5375284062700008
255       ,mp-999485 ,ZnN       ,     132.0,     132.0,14.0      ,0.42      ,1.42      ,  39.70785,    12.914,0.46050283127000036
256       ,mp-999503 ,MoN       ,     277.0,     247.0,52.0      ,0.4       ,1.9       ,54.973349999999996,    20.171,0.24764224375000055
257       ,mp-999549 ,WN2       ,     362.0,     344.0,222.0     ,0.24      ,1.93      ,  98.92335,    29.811,0.027100050436665413
258       ,mvc-13303 ,VN        ,     308.0,     308.0,88.0      ,0.35      ,1.71      ,   32.4741,    20.893,0.18301387250000012
259       ,mvc-13455 ,MoN2      ,     181.0,     154.0,27.0      ,0.38      ,1.9       ,54.973349999999996,    16.773,0.2670184313706674
260       ,mvc-14558 ,Mg2TiN2   ,     112.0,     105.0,68.0      ,0.23      ,1.76      ,28.72623333333333,    10.839,0.18940066968853841
261       ,mvc-14629 ,Mg2MnN2   ,      97.0,      88.0,61.0      ,0.22      ,1.61      ,31.08324833333333,     10.12,0.11594215825000198
262       ,mvc-15387 ,WN        ,     342.0,     314.0,140.0     ,0.31      ,1.93      ,  98.92335,    24.523,0.35901114000000156
