Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
411,mp-4248,YCoC2,175.0,159.0,92.0,0.26,2.12,53.283248333333326,15.132011068852764,0
412,mp-4253,V(CrC)2,291.0,291.0,101.0,0.32,1.71,38.3161,21.01551644454012,0.08291625418055482
413,mp-4382,YB2Ru3,225.0,225.0,111.0,0.29,2.12,66.92895,16.806359259244623,0
414,mp-4448,Y3AlC,80.0,80.0,63.0,0.19,2.12,42.632696200000005,9.180476906069712,0
415,mp-4472,BMo2C,317.0,317.0,180.0,0.26,1.9,39.58723333333334,23.528108071642876,0.04803277875000056
416,mp-450,NbB2,288.0,286.0,190.0,0.22,1.98,51.858689999999996,25.935999434034642,0
417,mp-4505,La3AlN,62.0,62.0,43.0,0.22,1.95 ang,59.96456953333333,5.805220033381399,0
418,mp-451,ZrB,158.0,158.0,69.0,0.28,2.06,51.0175,13.44074631419606,0.36676636500000015
419,mp-4563,Ti3TlC,146.0,146.0,82.0,0.26,1.76,88.08699999999999,12.858964063405056,0.0184244929999986
420,mp-4593,Mn3AlC,215.0,215.0,125.0,0.25,1.61,31.310094533333338,17.991617711797723,0
421,mp-4604,Li7VN4,83.0,83.0,69.0,0.16,1.71,23.963066666666666,11.996209586475258,0
422,mp-4613,Zr2SnC,128.0,127.0,79.0,0.24,2.06,73.98156666666667,11.98040403767178,0
423,mp-4634,LaNi4B,133.0,133.0,64.0,0.29,1.95 ang,69.46995666666668,10.54452329004645,0
424,mp-4678,Zr2AlN,142.0,142.0,93.0,0.23,2.06,44.0707462,13.203809208406222,0.020109948958333845
425,mp-4720,Si2Ni6B,213.0,206.0,65.0,0.34,1.49,32.52996666666667,15.97924018308836,0
426,mp-4798,Sc(AlC)3,168.0,165.0,138.0,0.17,1.84,27.982716866666667,20.658680758528916,0
427,mp-4893,Hf2SnC,138.0,137.0,85.0,0.24,2.08,103.07023333333332,13.06481564930161,0
428,mp-492,TiN,259.0,259.0,177.0,0.22,1.76,30.93685,22.8087105080512,0
429,mp-4938,ScCo3B2,223.0,222.0,127.0,0.26,1.84,38.233369,17.65731369315464,0
430,mp-4978,Ti2AlN,155.0,155.0,114.0,0.2,1.76,29.618412866666663,16.35690661340154,0
431,mp-4984,SiB2Mo5,272.0,270.0,136.0,0.28,1.9,44.9455,20.18696545077872,0.004993152500000875
432,mp-4992,ScCrC2,209.0,209.0,131.0,0.24,1.84,36.320904,17.79542570158896,0
433,mp-5019,YCo3B2,205.0,205.0,121.0,0.25,2.12,52.88334833333334,17.25470777828597,0
434,mp-5025,Zr2CS,165.0,165.0,111.0,0.22,2.06,45.0999,15.957107875937817,0
435,mp-5075,Sc3CoC4,180.0,179.0,119.0,0.23,1.84,38.633269,16.316219941800682,0
436,mp-510623,Fe3C,224.0,223.0,65.0,0.34,1.56,33.92785,16.96596227390863,0.05511399687500074
437,mp-5245,Zn(CN)2,51.0,51.0,1.0,0.46,1.42,30.475466666666666,10.329315261193608,0.2554225019999983
438,mp-535,Fe4N,193.0,193.0,53.0,0.37,1.56,34.92585,13.522005619692655,0.06986272100000335
439,mp-5383,NdNiC2,180.0,165.0,84.0,0.29,2.06,71.6487,14.333545054017007,0
440,mp-542316,Co2Mo3N,270.0,270.0,124.0,0.3,1.9,56.29329833333333,19.333120149739337,0.011791322619046696
441,mp-542435,Li3ScN2,93.0,93.0,58.0,0.23,1.84,21.967870666666666,8.402906801560064,0
442,mp-542496,Ca6Ag16N,64.0,64.0,23.0,0.34,1.94,53.9843,3.6633160815045915,0
443,mp-5443,Nb2SnC,160.0,160.0,77.0,0.29,1.98,74.54235999999999,12.661410525301376,0
444,mp-5475,NaTaN2,146.0,126.0,81.0,0.22,2.0,72.64811642666666,16.274739290965407,0
445,mp-5515,Li7MnN4,80.0,80.0,66.0,0.17,1.67,25.295248333333333,10.638465770910189,0
446,mp-553875,Zr2SN2,158.0,156.0,73.0,0.29,2.06,45.765233333333335,12.268850897407367,0.012802273999998448
447,mp-555,Fe8N,183.0,182.0,87.0,0.29,1.56,34.92585,14.11232059559502,0.0027167638888894174
448,mp-5578,LuB2Ru3,223.0,223.0,107.0,0.29,2.17,95.616,17.239767499828027,0
449,mp-5620,TmB2Ru3,215.0,215.0,107.0,0.28,2.22,93.60507,17.193149649761814,0
450,mp-5659,Ti3SiC2,184.0,184.0,138.0,0.2,1.76,29.321066666666667,18.74129628114332,0
451,mp-567290,LaN,91.0,81.0,20.0,0.38,1.95 ang,76.456085,6.940699523126556,0
452,mp-567397,W2C,336.0,336.0,163.0,0.29,1.93,97.92535000000001,24.386987722355343,0.08328206000000016
453,mp-567462,Sc3RhC4,180.0,176.0,117.0,0.23,1.84,53.290704000000005,16.84904902552828,0.00397737687499955
454,mp-567703,Fe3NiN,191.0,191.0,83.0,0.3,1.56,42.848366666666664,14.798460300650133,0.02529690650000127
455,mp-567925,MoC,322.0,314.0,106.0,0.34,1.9,53.97535,21.895406495094107,0.21422003249999833
456,mp-568083,LaNi2B2C,84.0,78.0,75.0,0.12,1.95 ang,55.1051425,18.25491804092993,0
457,mp-568384,ScB2,174.0,174.0,135.0,0.19,1.84,27.883456,18.68601345594687,0.9076439600000006
458,mp-568469,Ca4TiN4,91.0,88.0,40.0,0.29,1.94,33.9839,6.962182332244323,0
459,mp-568725,Dy(FeB)2,113.0,113.0,73.0,0.23,2.28,76.38533333333334,11.000138890771796,0
460,mp-568748,Fe2B,173.0,173.0,23.0,0.39,1.56,33.328,16.111420360846033,0.3736021633333193
461,mp-568991,Hf2Al4C5,192.0,191.0,133.0,0.22,2.08,72.49407953333333,18.502089211676612,0.025685525454544944
462,mp-569167,Nb4N3,280.0,280.0,127.0,0.29,1.98,53.45654,20.792175535947678,0.06939840999999625
463,mp-569270,V3B4,279.0,277.0,230.0,0.17,1.71,30.87625,31.322300741647,0
464,mp-569376,FeB2,272.0,248.0,122.0,0.29,1.56,33.328,20.487851238721476,0.21300994641666726
465,mp-569458,AlV4C3,219.0,219.0,166.0,0.2,1.71,29.977912866666667,21.675771243015696,0.011673477361107132
466,mp-569568,Ta3AlC2,225.0,224.0,159.0,0.21,2.0,73.31337286666667,22.348594728722972,0
467,mp-569803,B2W,323.0,320.0,224.0,0.22,1.93,97.3255,28.791449662843213,0
468,mp-569875,ScBRh3,194.0,194.0,91.0,0.29,1.84,52.890804,15.08043899501064,0
469,mp-569989,Nb2C,228.0,228.0,114.0,0.28,1.98,52.45854,17.54273154247454,0
470,mp-570074,Sc3IrC4,194.0,186.0,121.0,0.24,1.84,83.06120399999999,17.671380248341087,0.0009257506250008873
471,mp-570102,HoSiRu2C,178.0,175.0,75.0,0.31,1.78,76.52413,13.685423382862206,0
472,mp-570112,Cr3C2,309.0,309.0,143.0,0.29,1.66,32.0034,21.8592390177041,0.030407008499999222
473,mp-570155,PtN2,273.0,273.0,153.0,0.25,1.77,104.54535,23.598407094617706,0.23814497507999732
474,mp-570604,TaN,348.0,346.0,154.0,0.28,2.0,97.47729,27.19229341792272,0.24249080833333458
475,mp-570784,Hf2Al3C4,198.0,196.0,156.0,0.19,2.08,72.49407953333333,21.800997561031316,0
476,mp-571126,Ti2BRh6,228.0,228.0,112.0,0.29,1.76,53.86116666666667,17.11664063332433,0
477,mp-571419,Zr2Al4C5,183.0,183.0,126.0,0.22,2.06,43.405412866666666,17.208334697691967,0.03892938454545458
478,mp-571428,MgNi3B2,192.0,191.0,80.0,0.3,1.49,31.269800000000004,14.95332283662667,0
479,mp-571500,Ho(FeB)2,100.0,100.0,75.0,0.19,1.75 ang,77.19544,12.309429010891135,0
480,mp-579,CrC,208.0,208.0,99.0,0.28,1.66,32.0034,16.301269693195003,0.2781955370833309
481,mp-579496,Fe3PtN,214.0,214.0,99.0,0.3,1.77,88.3119,16.305594797777154,0
482,mp-580234,Fe3RhN,200.0,200.0,82.0,0.32,1.73,57.58573333333333,14.529325650089875,0
483,mp-582028,Mn3RhN,199.0,199.0,74.0,0.33,1.73,57.283415,14.495995478915779,0.08466910449999787
484,mp-585,MnB2,268.0,253.0,166.0,0.23,1.61,32.8745225,23.679325615700222,0.06771944874999924
485,mp-5971,YBPt2,159.0,159.0,51.0,0.35,2.12,98.26695,11.728785246627163,0
486,mp-607371,RuN2,304.0,292.0,139.0,0.28,1.78,57.538349999999994,23.687521127109015,0.10957031674666773
487,mp-6092,TbNi2B2C,186.0,186.0,70.0,0.33,2.25,60.1101125,13.18708077007461,0
488,mp-6098,ErNi2B2C,162.0,162.0,72.0,0.3,2.26,62.193524999999994,12.354147203064313,0
489,mp-6102,NdNi2B2C,178.0,178.0,72.0,0.32,2.06,56.439274999999995,12.851648598887378,0
490,mp-613327,Fe(BW)2,319.0,318.0,168.0,0.27,1.93,83.49866666666667,24.56120148158218,0.09791306400000188
491,mp-613523,Fe3C,180.0,180.0,64.0,0.33,1.56,33.92785,13.202510532747572,0.3064576106250012
492,mp-615314,ScCoC2,201.0,200.0,96.0,0.28,1.84,38.633269,15.80976647538242,0
493,mp-616575,MnB,164.0,147.0,8.0,0.35,1.61,32.8745225,27.71039107662139,0.41878374199999957
494,mp-6223,DyNi2B2C,195.0,194.0,68.0,0.34,2.28,61.003775000000005,13.683462390593382,0
495,mp-627439,Mn3GaN,230.0,230.0,127.0,0.26,1.61,46.22258166666666,19.022332047149945,0
496,mp-629397,FeNiN,221.0,216.0,77.0,0.33,1.56,42.848366666666664,16.35516063733545,0.10093347333333558
497,mp-631,TiC,253.0,253.0,175.0,0.22,1.76,29.93885,22.186997584934716,0
498,mp-6353,Y2Si4CN6,172.0,163.0,99.0,0.25,2.12,35.7521875,14.493047823095795,0
499,mp-637575,AlCr3B4,250.0,249.0,181.0,0.21,1.66,29.929546200000004,23.177782749705976,0
500,mp-644278,Y2H2C,95.0,95.0,66.0,0.22,2.12,33.974830000000004,8.99177926311315,0.014619772999998837
501,mp-6606,SrYSi4N7,171.0,171.0,101.0,0.25,2.19,54.654512499999996,14.701654827546578,0.0012347453846235368
502,mp-6624,Tb2Fe2Si2C,128.0,125.0,76.0,0.24,2.25,63.716637500000004,12.044917222643873,0
503,mp-6646,HoNi2B2C,175.0,174.0,70.0,0.31,1.75 ang,61.611355,13.676710348027642,0
504,mp-673174,Fe8N3,213.0,213.0,94.0,0.31,1.56,34.92585,15.196982006281013,0.01702546689394069
505,mp-673635,Fe3N,200.0,200.0,93.0,0.3,1.56,34.92585,14.695110870717615,0.2044936856249997
506,mp-6754,TmNi2B2C,196.0,194.0,70.0,0.33,2.22,62.612327500000006,14.28681849769477,0
507,mp-676416,V2CN,306.0,305.0,186.0,0.24,1.71,25.652966666666668,24.00800979617913,0.12452762402778106
508,mp-6794,LaB2Rh2C,205.0,204.0,47.0,0.38,1.95 ang,66.1581675,15.279677899940287,0
509,mp-6933,MnN,131.0,131.0,121.0,0.15,1.61,34.4723725,19.384009542392988,0.089843329999999
510,mp-6988,FeN,267.0,267.0,47.0,0.39,1.56,34.92585,20.530576513003737,0
511,mp-7017,NaNbN2,139.0,122.0,79.0,0.22,1.98,43.30094976,15.016946467319402,0.01546771203125008
