Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
46        ,mp-15617  ,Cr5B3     ,     291.0,     291.0,195.0     ,0.23      ,1.66      ,  31.40355,    24.076,         0
47        ,mp-15722  ,Fe2B4Mo   ,     308.0,     308.0,172.0     ,0.26      ,1.9       ,54.19866666666667,    23.834,0.02699619928571373
48        ,mp-15809  ,Cr2B      ,     289.0,     289.0,183.0     ,0.24      ,1.66      ,  31.40355,    23.198,0.0008972433333340746
49        ,mp-1773   ,ReB2      ,     343.0,     332.0,265.0     ,0.18      ,1.88      ,    98.509,    36.881,         0
50        ,mp-1890   ,BMo       ,     311.0,     311.0,199.0     ,0.24      ,1.9       ,   53.3755,    25.103,         0
51        ,mp-1915   ,Fe2B      ,     228.0,     227.0,145.0     ,0.24      ,1.56      ,    33.328,    19.408,         0
52        ,mp-19726  ,Sc3InB    ,      79.0,      79.0,54.0      ,0.22      ,1.84      ,56.861637333333334,     7.868,0.08663916949999972
53        ,mp-19789  ,Mn(BW)2   ,     306.0,     306.0,184.0     ,0.25      ,1.93      ,83.19634833333333,    24.762,         0
54        ,mp-1994   ,HfB2      ,     252.0,     250.0,239.0     ,0.13      ,2.08      ,94.65050000000001,    39.283,         0
55        ,mp-20318  ,Mn2B      ,     320.0,     319.0,172.0     ,0.27      ,1.61      ,32.8745225,    23.368,         0
56        ,mp-2058   ,Ni3B      ,     225.0,     225.0,78.0      ,0.34      ,1.49      ,   34.7522,    15.815,         0
57        ,mp-20590  ,La3InB    ,      76.0,      76.0,22.0      ,0.37      ,1.95      ,88.17815666666667,     4.812,0.20259041212500062
58        ,mp-20689  ,Nb3B2     ,     240.0,     239.0,167.0     ,0.22      ,1.98      ,51.858689999999996,    21.888,         0
59        ,mp-20787  ,FeB       ,     292.0,     290.0,132.0     ,0.29      ,1.56      ,    33.328,    21.481,0.0853492312499986
60        ,mp-2091   ,V3B2      ,     256.0,     256.0,198.0     ,0.19      ,1.71      ,  30.87625,    26.108,         0
61        ,mp-21347  ,CoBMo     ,     305.0,     305.0,174.0     ,0.26      ,1.9       ,55.228064999999994,     23.46,         0
62        ,mp-21464  ,CoReB     ,     350.0,     349.0,108.0     ,0.33      ,1.88      , 85.317065,    25.785,0.008919080833337034
63        ,mp-2192   ,BPt       ,     262.0,     261.0,46.0      ,0.42      ,1.77      ,  102.9475,    19.199,0.20189153541667348
64        ,mp-2203   ,YB6       ,     172.0,     172.0,53.0      ,0.3       ,2.12      , 49.858425,    15.479,0.028522985000006607
65        ,mp-22435  ,CeBPt3    ,     172.0,     172.0,60.0      ,0.34      ,1.85      ,   115.337,    12.863,         0
66        ,mp-2252   ,ScB2      ,     193.0,     190.0,193.0     ,0.12      ,1.84      , 27.883456,    33.182,         0
67        ,mp-22759  ,CoBW      ,     335.0,     335.0,189.0     ,0.26      ,1.93      , 84.528065,    26.039,         0
68        ,mp-2331   ,B2Mo      ,     296.0,     294.0,224.0     ,0.2       ,1.9       ,   53.3755,    28.399,         0
69        ,mp-2501   ,BMo2      ,     294.0,     293.0,141.0     ,0.29      ,1.9       ,   53.3755,    21.215,0.01821940499999819
70        ,mp-2536   ,Ni2B      ,     251.0,     248.0,98.0      ,0.32      ,1.49      ,   34.7522,    17.926,         0
71        ,mp-2580   ,NbB       ,     264.0,     264.0,196.0     ,0.2       ,1.98      ,51.858689999999996,    26.009,         0
72        ,mp-260    ,CrB       ,     266.0,     265.0,220.0     ,0.17      ,1.66      ,  31.40355,    30.312,0.008865176249999607
73        ,mp-2680   ,LaB6      ,     174.0,     174.0,117.0     ,0.2       ,1.95      ,74.85823500000001,    19.703,         0
74        ,mp-27710  ,CrB4      ,     285.0,     270.0,251.0     ,0.15      ,1.66      ,  31.40355,    36.448,0.006380921999999067
75        ,mp-27768  ,Co(BW)3   ,     339.0,     339.0,201.0     ,0.25      ,1.93      , 84.528065,    27.048,         0
76        ,mp-2850   ,B2Os      ,     314.0,     308.0,150.0     ,0.27      ,1.85      ,  100.5205,    25.566,         0
77        ,mp-28614  ,NaBPt3    ,     156.0,     153.0,19.0      ,0.39      ,1.9       ,76.29492309333334,    15.721,         0
78        ,mp-28786  ,Zn(BIr)2  ,     222.0,     222.0,107.0     ,0.29      ,1.8       ,    89.479,    17.304,         0
79        ,mp-2880   ,LuB2Os3   ,     260.0,     260.0,129.0     ,0.29      ,2.17      ,125.33600000000001,    19.611,0.07957078666666817
80        ,mp-28896  ,CuBIr     ,     194.0,     188.0,64.0      ,0.34      ,1.8       ,    88.858,    14.676,         0
81        ,mp-28897  ,BIrPd     ,     236.0,     236.0,66.0      ,0.36      ,1.8       ,103.14933333333335,    17.503,         0
82        ,mp-2933   ,Pr2(ReB2)3,     214.0,     212.0,116.0     ,0.27      ,2.47      ,112.64188333333333,    17.371,         0
83        ,mp-29674  ,Al2B2Ru3  ,     230.0,     229.0,100.0     ,0.31      ,1.78      ,46.28751286666667,     16.41,0.07856723642856611
84        ,mp-29725  ,YBRh3     ,     158.0,     158.0,72.0      ,0.29      ,2.12      ,67.54078333333332,    12.705,         0
85        ,mp-3088   ,LaBRh3    ,     153.0,     153.0,59.0      ,0.32      ,1.95      ,84.20732333333335,    11.776,         0
86        ,mp-3092   ,DyB2Ru3   ,     207.0,     207.0,105.0     ,0.28      ,2.28      ,91.46033333333332,    16.436,         0
